,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,address,postcode,state,country,property_valuation
12,13820,12,402,2017-09-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,0105-08-19 00:00:00,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,586 Miller Parkway,2835,NSW,Australia,1
13,17127,3,402,2017-01-29,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,0113-09-17 00:00:00,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,586 Miller Parkway,2835,NSW,Australia,1
14,17824,61,402,2017-05-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,0116-06-18 00:00:00,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,586 Miller Parkway,2835,NSW,Australia,1
15,18312,77,402,2017-10-03,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,0112-01-12 00:00:00,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43,586 Miller Parkway,2835,NSW,Australia,1
16,4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,0099-12-17 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
17,1134,59,3135,2017-02-27,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,0094-07-21 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
18,7000,98,3135,2017-02-08,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,0105-01-17 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
19,8683,59,3135,2017-05-17,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,0094-07-21 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
20,9385,73,3135,2017-05-18,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,0103-09-02 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
21,14352,2,3135,2017-05-31,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,0113-12-04 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
22,16342,71,3135,2017-02-13,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,0096-10-24 00:00:00,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58,1617 Harper Parkway,2096,NSW,Australia,10
23,6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,0107-11-12 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
24,3369,60,2339,2017-05-21,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,0113-05-20 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
25,7326,53,2339,2017-12-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,0092-01-22 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
26,8128,90,2339,2017-02-05,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,0103-10-12 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
27,8831,16,2339,2017-11-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,0110-03-10 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
28,9443,68,2339,2017-12-19,1.0,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,0093-10-03 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
29,13760,29,2339,2017-04-04,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,0095-07-13 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
30,15991,45,2339,2017-02-06,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,0107-10-03 00:00:00,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61,7174 Thackeray Point,2153,NSW,Australia,10
31,7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,0094-07-16 00:00:00,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41,243 Mosinee Place,2155,NSW,Australia,10
32,4160,69,1542,2017-08-19,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,0093-10-03 00:00:00,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41,243 Mosinee Place,2155,NSW,Australia,10
33,13247,16,1542,2017-02-15,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,0097-11-10 00:00:00,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41,243 Mosinee Place,2155,NSW,Australia,10
34,13388,28,1542,2017-07-10,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,0095-07-13 00:00:00,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41,243 Mosinee Place,2155,NSW,Australia,10
35,17672,55,1542,2017-05-29,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,0092-01-22 00:00:00,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41,243 Mosinee Place,2155,NSW,Australia,10
36,9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,0092-08-05 00:00:00,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50,3 School Place,4124,QLD,Australia,4
37,48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,0113-04-12 00:00:00,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50,3 School Place,4124,QLD,Australia,4
38,1803,21,1305,2017-04-22,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,0106-12-09 00:00:00,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50,3 School Place,4124,QLD,Australia,4
39,5048,0,1305,2017-02-13,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,0108-08-05 00:00:00,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50,3 School Place,4124,QLD,Australia,4
40,9526,90,1305,2017-04-07,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,0112-03-17 00:00:00,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50,3 School Place,4124,QLD,Australia,4
41,10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,0105-08-19 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
42,148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,0104-08-06 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
43,166,78,3262,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,0105-07-27 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
44,2288,84,3262,2017-03-23,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,0105-12-20 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
45,6484,53,3262,2017-12-16,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,0098-02-10 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
46,6607,8,3262,2017-03-15,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,0112-04-17 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
47,7021,98,3262,2017-10-11,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,0105-01-17 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
48,8352,99,3262,2017-12-29,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,0095-08-11 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
49,8910,4,3262,2017-10-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,0106-08-11 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
50,10675,19,3262,2017-03-28,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,0110-03-10 00:00:00,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60,2558 Morningstar Center,4221,QLD,Australia,8
51,12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,0116-06-18 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
52,843,21,2783,2017-02-11,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,0117-02-05 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
53,2623,56,2783,2017-06-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,0112-08-25 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
54,5392,86,2783,2017-07-06,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,0100-07-27 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
55,9505,95,2783,2017-10-18,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,0092-05-06 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
56,9828,42,2783,2017-04-03,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,0104-02-18 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
57,13573,80,2783,2017-10-02,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,0114-09-18 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
58,13985,67,2783,2017-09-16,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,0117-12-08 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
59,15508,51,2783,2017-01-14,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,0110-04-14 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
60,16819,99,2783,2017-10-18,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,0095-08-11 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
61,18818,6,2783,2017-03-16,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,0092-11-07 00:00:00,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41,13392 Emmet Parkway,2171,NSW,Australia,9
62,13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,0095-07-13 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
63,5047,40,1243,2017-10-21,1.0,Cancelled,OHM Cycles,Standard,high,medium,1458.17,874.9,0107-02-04 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
64,5804,67,1243,2017-01-24,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,0106-10-24 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
65,8468,5,1243,2017-01-18,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,0112-08-30 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
66,11800,98,1243,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,0105-01-17 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
67,12261,11,1243,2017-04-21,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,0108-08-05 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
68,12646,14,1243,2017-04-08,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,0104-08-06 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
69,14841,16,1243,2017-06-14,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,0095-09-10 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
70,19002,25,1243,2017-02-08,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,0117-02-05 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
71,19850,44,1243,2017-03-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,0112-05-10 00:00:00,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66,2 Eliot Lane,2155,NSW,Australia,11
72,14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,0095-09-10 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
73,2942,51,2717,2017-07-04,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,0113-04-12 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
74,3595,10,2717,2017-03-11,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,0115-03-05 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
75,5681,32,2717,2017-11-19,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,0103-03-24 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
76,6206,84,2717,2017-06-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,0105-12-20 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
77,8511,56,2717,2017-02-28,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,0098-10-05 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
78,9404,66,2717,2017-07-12,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,0111-11-07 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
79,11732,96,2717,2017-11-16,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,0103-10-12 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
80,16877,57,2717,2017-01-07,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,0092-01-22 00:00:00,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39,6994 Hanson Place,2580,NSW,Australia,5
81,15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,0105-07-27 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
82,883,38,247,2017-09-09,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,0104-02-09 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
83,3200,0,247,2017-01-21,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,0104-02-18 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
84,3833,22,247,2017-06-17,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,0094-05-27 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
85,5268,10,247,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,0115-10-12 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
86,7140,33,247,2017-01-16,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,0100-12-05 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
87,8582,59,247,2017-08-23,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,0105-01-17 00:00:00,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37,2 2nd Plaza,2283,NSW,Australia,4
88,16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,0104-09-10 00:00:00,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45,8 Roxbury Way,3031,VIC,Australia,8
89,2140,15,2961,2017-04-19,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,0112-05-08 00:00:00,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45,8 Roxbury Way,3031,VIC,Australia,8
90,7169,44,2961,2017-12-28,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,0112-05-10 00:00:00,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45,8 Roxbury Way,3031,VIC,Australia,8
91,9656,39,2961,2017-11-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,0111-06-09 00:00:00,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45,8 Roxbury Way,3031,VIC,Australia,8
92,11417,79,2961,2017-08-15,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,0108-08-05 00:00:00,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45,8 Roxbury Way,3031,VIC,Australia,8
93,17882,53,2961,2017-10-25,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,0111-08-22 00:00:00,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45,8 Roxbury Way,3031,VIC,Australia,8
94,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,0093-10-12 00:00:00,Ephrayim,Beville,Male,89,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,43,9649 Cascade Way,2250,NSW,Australia,8
95,205,58,1842,2017-05-27,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,0116-10-19 00:00:00,Ephrayim,Beville,Male,89,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,43,9649 Cascade Way,2250,NSW,Australia,8
96,11117,30,1842,2017-03-17,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,0092-11-10 00:00:00,Ephrayim,Beville,Male,89,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,43,9649 Cascade Way,2250,NSW,Australia,8
97,11878,48,1842,2017-05-03,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,0115-07-30 00:00:00,Ephrayim,Beville,Male,89,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,43,9649 Cascade Way,2250,NSW,Australia,8
